"fake_review","fake_review_date","fake_review_rating","fake_user_link","fake_user_name"
"The Purple Pig was one of my favorite meals recently. I loved it and will definitely return to try more.It is popular/pretty small, and crowded - there wasn't much room but I squeezed in at the communal table. Service was pretty good, server was very knowledgeable about the menu and provided a couple spot on recommendations that I wasn't planning to order.Foie gras and pork terrine. Amazing. This dish was so good and started the meal off perfectly. I should've ordered two of these for myself. Fried brussels sprouts - loved the texture. Great flavor too, but I thought this dish was a little too oily and over salted. Octopus with salsa verde and green beans. Delicious, perfectly cooked octopus, great flavors in this dish, perfect portion. So good. Gnocchi with oxtail ragout - gnocchi was perfectly cooked and fluffy. The sauce/ragout lacked flavor and there was barely any oxtail. My least favorite dish of the night (the others were pretty exceptional), but still enjoyable and had no problem finishing.The server recommended 2 to 3 dishes. 4 was definitely a lot of food, but I got through it all. Good price for what you get.","3/17/2017","5.0 star rating","https://www.yelp.com/user_details?userid=LHsCa_aVta4UbbrcL4hE5A","David H."
"I'm always hesitant to dine at The Purple Pig, and for good reason. During my third time here, we got some dishes outside of our usual go-to's (octopus, bone marrow) upon the waitress' recommendation. These included dishes like the smoked pork tongue and feta spread with date crackers (?). We ordered a couple more, but nothing comes to mind right now.Dishes were honestly mediocre and lacked flavor. The smoked pork tongue had potential to be good, but the temperature of the dish was odd--with its creamy texture, it was akin to butter that had been left out of the fridge for an hour. Lol. The octopus was also on the lackluster side, and consisted of more green beans than octopus itself. The only dish that remotely stood out in my opinion was the feta spread dish--it was pretty decadent, and the combination of flavors went well together.For some reason, every time I visit The Purple Pig, I end up getting seated at the long communal table with high chairs. I actually highly dislike it, as it provides little private space. Overall, the atmosphere within this restaurant is not to my taste as you have to yell (seriously) to talk to your friends. It was also pretty hard to flag down our waitress to receive our bill as she was rarely in sight--I had to eventually walk up to her when I saw her by the computer and she barely acknowledged me.","4/20/2017","2.0 star rating","https://www.yelp.com/user_details?userid=fj5bAcfeggkXUfwCMewI9Q","Astrid G."
"Holy geez. This place is great and I sure am glad my sister found it. After going to a museum and before going to see Hamilton, my sister and I stopped here for lunch. It was hella busy but we were seated and  had a menu quickly. The tables and isles are very close together but not uncomfortably so. The menu had plenty of chocies but we decided on 4 things, the Bobota (greek cornbread, brussels sprouts, hummus, and a chorizo panini. Everything came out super fast and was amazingly delicious, I don't think I could pick a favortie so obviously get them all.","3/14/2017","5.0 star rating","https://www.yelp.com/user_details?userid=Rx4bHNzBtDSds11Sa-_Q9w","Marcia V."
"After recommendations from friends, Yelp and being a tapas lover, I had to make this stop. After reading the reviews on how crowded and how long the lines could get, my bf and I opted for lunch here. No wait, nice warm seating area inside and outside available. Our server Sergio was great! He guided us around the menu, the style of food and was perfectly attentive. These tapas plates are definitely made to share! Theyre not small portions, but hearty enough for two people, at least three people if you wanted to try extra of everything. The bone marrow was SPECTACULAR. They even explained how to eat the marrow just in case. Extremely luxurious, make sure to use the salt, capers and onions to help cut thru the richness. A must get!The octopus was ever so tender. A little bit much on the lemon for me, but I had no complaints. It was worth getting and the fingerling potatoes were a great touch. FRIED BRUSSEL SPROUTS. Theyre not deep fried in a batter, just the leaves were fried to have a bit of a crunch, and they were worth it. They smelled so good, I wish I couldve fit another plate into my tummy. Fried mozzarella bread. It was alright, loved the mustard and radishes, but I wouldnt order this one again. The floor manager was always walking around, asking every table how they were doing, plates were always being picked up, and the service of the entire restaurant itself was great. I would recommend anyone to stop by for a visit or ten when theyre in Chicago!","3/12/2017","5.0 star rating","https://www.yelp.com/user_details?userid=zYZvNDpf7kmUUvP5Me86TQ","Bonnie N."
"I can see why this place is so popular and has received so much praise! Honestly you couldn't really go wrong with any of the selection - I especially loved the roasted beets with pistachio butter and whipped goat cheese, and the milk braised pork shoulders are so tender that the knife just melts through the meat. Their meatballs, although highly recommended by the waiter and were indeed very fresh and juicy, were not that exceptional so I would suggest saving your stomach for something else. For dessert, we could've probably ordered something better because the poached pear with genoa cake that we got was pretty mediocre. But in general everything really delivered, in terms of taste, quality and portions. The dishes are in small plates and are meant to be shared. My biggest criticism would be that the service was too rushed - we kept getting asked if we were done with our dishes when we were still nibbling our way through the last few bites, or were just taking a break from eating. Maybe this is due to the fact that the restaurant is so popular and it was getting busy so they were trying to be efficient. It's a subjective thing, but I prefer to eat my meals with a more relaxed pace.","4/19/2017","4.0 star rating","https://www.yelp.com/user_details?userid=29UXoG9rmw3ZVRzdkRqtjw","Natalie S."
"ULTRA VIOLET SWINETerrific tapas and vino tinto are the modus operandi at this *insanely good* Mag Mile restaurant (one of Chicago's hottest).I'd known of this place from LeAnn P, but it wasn't until dinner on 2/22/17 with a certain mom that made me understand why a venue specializing in small plates would have such a strong positive rating across almost 5K reviews.The Purple Pig operates on a first come/first serve basis, which means you can't make a rez to guarantee your party's seating.  Even though you can bank on TPP being crowded at ANY time of the day or night, expect a considerable wait if you arrive after 6pm.Tucked away off of Michigan Ave, TPP (a.k.a. ""The Fuchsia Porker"") has a small dining room and a lively -- but deafeningly loud -- environment.  Communal seating is just how these guys play the game; if you value your personal space and quiet time then maybe this isn't the spot for you.But if you can handle tight quarters and noisy atmosphere, then you will go absolutely hog wild for the items their kitchen cranks out.  Although I would encourage adventuresome eaters to order an entrée or two, it's truly the appetizers and hors d'oeuvres that stand out the most.Before I drop some serious beats on the culinary breakdown, I wanted to give props to TPP's massive wine selection.  I enjoyed large pours of a Bordeaux ($12 per 9oz glass) and noted many others that'd pair nicely with their charcuterie boards.  Now onto the good sh*t:¶ broccoli with roasted garlic, toasted breadcrumbs, anchovy vinaigrette ($8)One of TPP's signature dishes, the broc was cooked to the ideal level of tenderness.  The breadcrumbs added a lovely texture of crunch and the anchovy vinaigrette was salty without being overwhelming.  A must order.¶ meat & cheese tray (guanciale and hook's blue) with sliced cornichons, crispy pita, & fig mostarda ($16)Instead of jamón ibérico (a personal fave), my mom opted for 'guanciale' which is the fatty sibling of prosciutto.  Accompanying that was a firmer, milder blue cheese (when compared to your typical Stilton or Roquefort) as well as crispy pita triangles, sweet-brined cornichon pickles and a delightful fig mostarda.¶ duck liver pâté with lightly dressed field greens, grapes & crostini ($12)The pâté itself was lighter than air and the plating was tasteful, but otherwise nothing terribly out of the ordinary.¶ potato ice cream with ossetra caviar, purple chips & crème fraîche ($18)Runner-up to best dish of the evening was this whimsical cold plate which was JUST as awesome as it sounds.  The potato ice cream was unlike anything we'd ever tasted and reminded us of the ""french fries"" liquid nitrogen dish from our meal at EL Ideas.  The crème fraîche atop the striking purple chips was a snazzy touch.¶ salted beets with whipped goat cheese & pistachio butter ($9)This was the one that brought me to tears.  Diced beets were plated with a miraculously airy goat cheese and a very unique, VERY good smear fashioned from pistachios.  Imagine the greatest, smoothest peanut butter ever made, now add in a touch of honey for sweetener and you'll get an idea of what this was like. MARVELOUS.¶ Meyer lemon bar with olive oil sorbet ($9)This dessert was the perfect balance of flavor and texture: a tart lemon curd over a shortbread base and crispy rice pearls, with a subtle olive oil sorbet and light caramel drizzle.  Tangy and playful!¶ Poached pears with amaretto cake, pear sorbet, & chocolate gelée ($9)Easily the best-plated dish of the evening, the attention to detail was exemplary.  Pears poached in red wine along with a refreshing pear sorbet joined a wonderful amaretto cake and an unusual sheet of cocoa gelatin.Bread = 5+Circuses = 5Service wise, it really couldn't have been much better.  The level of attentiveness matched that of many Michelin places and despite not receiving any ""explanations"" of dishes, everyone from the guys who cleared the table to the girl who sat us were both polite and vigilant.  We never encountered a problem and water glasses rarely (if ever) got below halfway.  Pure professionalism.:VERDICT:Jimmy Bannos Jr and his staff of servers, hostesses and chefs absolutely SLAYED IT.  Every single person working here had a great upbeat attitude, although it was the kitchen whose stellar plate presentation and flawless execution of dishes left me stunned.  A legit dinner for two with drinks + tax + tip ran an even $200, but it was worth. every. penny.Without a doubt one of Chicago's best restaurants and the greatest meal I've had in many moons.  A superlative experience from top to bottom, I'll be recommending The Purple Pig to not just friends & relatives, I'll be preaching the good word to randos on the street......so if you see some crazy guy running up and down Michigan Ave shouting things about salted beets with whipped goat cheese & pistachio butter, pay him no heed......he just really, really likes TPP (and he thinks you will, too).","2/24/2017","5.0 star rating","https://www.yelp.com/user_details?userid=rkdE06BbheP4gEhb3ooH0w","Eric S."
"Did I just not order what was popular here?The atmosphere was pretty cool. It felt like I was in a fancy covered outdoor seating area. (there is indoor seating too) Service was good.Its like family style here. So you order plates and everyone just shares.As for our plates they were all pretty good. I did like most of them. I just didn't eat anything that gave me a ""OMG WHAT IS THIS? :D"" Kind of feeling. I guess you could say this place didn't stick out to me when I look back at my food adventures in Chicago.Welp, at least I tried it. :)","4/17/2017","4.0 star rating","https://www.yelp.com/user_details?userid=F3bEhOdgCPNx7iKlbwVl-g","Mary T."
"Ever been to a place where you read something on a menu, and you really have no idea what to expect, and then the food completely blows you away? Presenting: The Purple PigI hereby solemnly swear to never travel to Chicago without eating at the Purple Pig. To skip this restaurant would be an affront to your taste buds. You will be reported for neglect. When I read the menu, I can never picture exactly how the food will look in front of me. This is because everything they create is so decidedly unique and adventurous. I try to find clues by googling key words online, but my efforts do little to produce an accurate representation of what I am about to experience. My last venture, had me sampling lamb ribs, gnocchi, and a whipped feta schmere. I am not even going to try to describe the food because I don't think I will have any more success then their menu does, but check my pics to gaze upon glory. And heed my words, that the food was deliSHEEous maximus.","3/6/2017","5.0 star rating","https://www.yelp.com/user_details?userid=yF0ma-oHPH8Qw-B-_0BjCg","Diah A."
"Finally made it to this place and it was very good but wasn't out of this world. With how many reviews this place had I was expecting more. Small plates is the way to go when you want to try many things and I love that but these were definitely overpriced for what it was. Now some things were AMAZING like the Bone Marrow and Octopus but everything else was just ok. Definitely overpriced for what you get. Now I have said it before and I'll say it again and I don't care how much it costs as long as its worth it I'll pay through the nose but if it doesn't match what I'm paying then its not worth it. The Bone Marrow and Octopus was but the others were not including Pig Ears and the daily special Ribs. The Cauliflower was good but not fantastic. We did end with the Sicilian Iris which was amazing! Perfect way to end because its nice and light and not heavy. Overall I would give 3.5 stars. I feel you have to wait so long for a table that by the time you sit down to eat that anything will be good and you will be willing to pay anything.","4/26/2017","4.0 star rating","https://www.yelp.com/user_details?userid=CWJv4QmkBrvI2Xbj-cj3NA","Travis S."
"I've been here twice and had a great experience both times. Great ambiance, but be prepared to wait as this place always has a line.One of your best bets is to wait on someone to leave at the bar so you can dine there. This place is pretty pricey and slightly overrated so I'd come here more to celebrate a special occasion. Although, be forewarned they don't do anything for your birthday besides bring the dessert (that you pay for) out with a candle. The service isn't the best, I think they're aware they can get away with it given their hype, I mean look at the wait to get in. The food was done well, something with experiencing at least once.","2/12/2017","4.0 star rating","https://www.yelp.com/user_details?userid=Ua4HBjhpPH-SFUxn1XHPFQ","Monica K."
"Good food. The chicken kabobs and the octopus were delicious. If you get the cheese platter: don't get the apple jam. It tastes like motts apple sauce. I do recommend the almond honey!The place is a little over priced for what it is. Either way. It's a fun place to try out!","4/24/2017","4.0 star rating","https://www.yelp.com/user_details?userid=f1iNScRppMs4I2Vn_uFykw","Mariola H."
"The Purple Pig is a must try! If you're a foodie, you have to eat here.ANTIPASTI:Broccoli - this is amazing. I never thought I would say ""I've had the best broccoli of my life..."" but it has happened. The flavors are outstanding, and broccoli is tender. I just love this. 5/5Calamari - this is pretty good. I love the fregola (this dish actually got me into cooking with Israeli couscous) They dress it with something lemony, and honestly, I'm very partial to lemon so this dish was a win. The actual calamari is very well prepared, and very tender. 4/5FRIED ITEMS:Pigs ear - this is soo good. I'm used to carnita-style pig ears, which are chewy and yummy, but these are very krispy. They could've been anything fried, honestly. This dish is still flavorful, though, and enjoyable when eating. 4/5SMEARS:Roasted bone marrow - this is my favorite, and the reason why I keep coming back. The bread, the herb mix, the salt, the buttery bone marrow.. mmm. 5/5A La Plancha:Octopus - the octopus itself is tender and juicy, as well as the potatoes. But they give more potatoes than octopus so it leaves something to be desired. It's still good, though. 3.5/5OTHER:We've had this meatball type dish before with brioche. I don't see it online, or maybe I overlooked it. This was very mediocre. The menu stated the dish came with brioche. So my boyfriend and I were thinking at least one slice, right? Wrong. It was the tiniest disk in the world. What a rip off and huge disappointment that was. 2/5They've also had their play on ITALIAN BEEF. Now, come on, we're in Chicago. How cool is that? I was very hesitant about it, not gonna lie. Both my boyfriend and brother wanted it, though, so I went along. It was so freaking good! Too bad it was limited. They served some of the juiciest, most tender, most flavor-impactful beef I have ever had. 5/5DESSERT:Lemon Panna Cotta - pretty good bc I love lemon. Sometimes the texture is off. I love the crunch from the pistachios, though. 3.5/5Sicilian Iris - my boyfriend adores this dessert. I'm not the biggest chocolate fan, but he is and we both love brioche. This is good for maybe 4 bites and then it becomes too much for me. I think he'd give it five stars, though. 4/5Greek Donuts - I don't know what they're called and I don't see them online. They're really yummy, and dripping with honey and cinnamon. I really love these fluffy balls. 5/5I know my sections/titles don't match the menu in the place. I was going solely based off of the menu on Yelp.I love the food here, and I'm pretty sure I have enjoyed every single thing I have tried. I'm giving 4 stars, though, because the service here really lacks sometimes, which sucks. Don't you guys work for a tip? Anyways, the food is always good so a solid 4 stars!","1/15/2017","4.0 star rating","https://www.yelp.com/user_details?userid=iTcfCd_vBI0SEXjLemBYJQ","Sabrina S."
"I'm pretty sure I experienced The Purple Pig entirely all wrong and I still loved absolutely every moment of it.You see, this popular Chicago spot was, without a doubt, one of the most lively restaurants I've ever been to, with packed communal seating, a copious amount of shared plates, an endless wine list, and an ever-present drone of spirited conversation. My approach? I was alone, sat at the bar, drank beer, ordered only two dishes, and spoke only with my waitress. Like I said, entirely all wrong.So, given my circumstances, why did this place feel so damn right?First, I credit the open-air kitchen. The Purple Pig doesn't take reservations, so when I arrived to an overflowing scene, I figured it was a long shot. The hostess offered me an empty seat at a communal table, but even as someone who doesn't mind dining alone, I declined that out of fear of being some weirdo intruder alongside a large party of old friends. I then tried my luck at the back bar and was able to score a solo spot. Little did I know that this was front row to one of the most exciting, fast-paced kitchens I've ever seen. Watching the line cooks shout and prep and plate and joke, all in some unison form of communication was symphonic and aggressive and mesmerizing. I was enthralled by this uncanny form of theater, and would recommend you go enjoy the show if you happen to randomly find an opening back there like myself.Second, I credit the food. After a quick bit of research and consulting my waitress, I ordered the Milk Braised Pork Shoulder, as it seemed to be the most popular dish at the restaurant. Yes, the name at first gave me ""Always Sunny"" Milk Steak vibes, and yes, the plate itself looks like a fatty lump covered in gooey mush, but let me tell you, this is absolute pig heaven. Sitting on a pillow of mashed potatoes, drenched in gravy, and garnished with puffed farro, the pork is so tender, the side of your fork cuts through this like a blade. This is rave-worthy, mouth-watering stuff.This dish alone was probably enough for one person. But I sat there, marveling at the organized chaos behind the bar, immersed in the scene, thinking to myself, ""Am I really only going to order one thing? Am I really going to just up and leave right now?"" So I went for the Octopus, which arrived chopped and stacked in a pyramid of green beans, fingerling potatoes, and salsa verde. Our eight-legged friend is a pretty regular order for me in Mediterranean restaurants, but the treatment here at The Purple Pig was not your typical charred-tentacle-on-a-plate creation, but rather a tossing of said ingredients in a flavorful, land-meets-sea medley of sorts. Not to mention, I was able to shovel all of it down despite being full from the pork in the first place. I paired both with an easy-drinking Off Color Apex Predator saison (OK, maybe two), because... when in Chicago, ya know?Now, I would typically never take to the interwebs after sampling such a small percentage of a restaurant's menu, but the fact that these two dishes were so damn delicious gives me the rare vote of confidence that the rest of The Purple Pig's plates can only follow suit. If there's anyone willing to test the limits of this menu and prove out this theory with me, I'm game. Otherwise, I'll be in the back, at the bar, by myself, watching those cooks make magic happen in the kitchen.","3/23/2017","5.0 star rating","https://www.yelp.com/user_details?userid=sSveQQvgkDrPbpopNvbPSw","Dan R."
"Finally got to try this place out. Went on a Saturday afternoon expecting a long wait but was seated within 10 minutes. Our waiter came right away to greet us and offer something to drink. He was very knowledgeable when it came to wine and made sure it was a good pairing with the entres that we wanted to get. Anything you order from the menue is ideal to share, unless you absolutely love something that you are not willing to share. We ordered bone marrow, which was delicious!!! Followed up with mozzarella melt that had a great crunch to it. Ended with  JLT Pork Jowl, it was so delicious that I wish I didn't share ;).","4/3/2017","5.0 star rating","https://www.yelp.com/user_details?userid=a6JmdZfpYeCeITQeWoADcA","Yuliya M."
"If my review was based on a single visit (first time), then it would certainly qualify for 5 stars.  The reason for the 4 is based on consistency.Ordered a few of the same dishes the second time and was thoroughly disappointed since our expectations were so high from the previous experience.For the most part, the choices are usually all pretty tasty and it's hard to go wrong with any option...but like I said, consistency is key for me to keep coming back.Don't bother with the bone marrow dish- there are countless places in the city that not only serve this dish, but serves it better and for a lower cost.","1/31/2017","4.0 star rating","https://www.yelp.com/user_details?userid=_o66mUpo6mc2AMWLmEOglg","David N."
"So out of the 5,000 reviews this place has, you've stopped to read mine huh?Fair enough. Makes me feel special.Relatively pricey tapas is the name of the game here, but that doesn't mean they aren't delicious. Get the bone marrow like your life depends on it. The richness of that marrow spread on the toast is wonderful. If it's too rich for you, there's some salt that accompanies the dish to help you break it down a bit (and help you achieve your salt bae dreams).It seems like everything my party got here was amazing. We ordered the octopus, cauliflower, Blade Steak, Half Duck, and Pork Shoulder. We all had the chance to sample some of the plates and agreed unanimously that they were great choices. Someone in our group even claimed that the pork might have been the best they ever had. High praise.It certainly wasn't cheap, with the average price coming out to be slightly more than $30 per person. It's also extremely crowded inside and since they don't take reservations, you might be waiting for a bit. There's a reason it's popular though; if you want a great dining experience in Chicago, the Purple Pig is as tried-and-true as they come.","3/26/2017","5.0 star rating","https://www.yelp.com/user_details?userid=MNC4xBMbc6gY4I9Ji96E_w","Daniel B."
"Within an hour of touching down at Midway for our Anniversary Weekend, my wife and I made the Purple Pig our first stop during our first visit to Chicago. It ended up being the high point of the weekend, which is no way a slight toward several other places we went. To sit at a relatively small table in a packed restaurant is usually my personal dining hell, but I really didn't notice. The atmosphere was great, the staff was kind, attentive, and helpful, and the food was awesome.We split several dishes, all of which were delicious, but the Seafood Saganaki was...man. Acid, spice, and brininess all together in every bite. I wish we had gone here a few more times, instead of wasting money at places that were twice as expensive for a quarter of the quality.","4/21/2017","5.0 star rating","https://www.yelp.com/user_details?userid=WKOLB-ftBjP_zV9qSGB5Nw","Mark B."
"""Everything on the menu is awesome"" is what our waiter told us and he wasn't wrong.For a table of 5, we got 8 dishes to share and they were all delicious. My favorite ones were the pork blade steak, carrots and pork, roasted bone marrow, pork shoulder,and the broccoli. Everything was well cooked and flavorful. The bone marrow was really delicious when spread upon the bread. I know people really like the pig ears (apparently a fan favorite) but to me they were just crispy fries and it wasn't that appealing to me at all. But the fried egg on top was a nice bonus I loved that they kept the dishes continuously coming rather than all at one time. It was also very helpful that with each dish, they would give you tips on the best ways to eat it. I wish I had gotten pictures of it because the plating was so pretty. A nice place for hanging with friends, a romantic dinner, or just if you want yummy food! Definitely have to come back to try their other dishes!","3/10/2017","4.0 star rating","https://www.yelp.com/user_details?userid=etNQ48VMk-5pX60cuAqs8w","Abby T."
"Braised Pork Shoulder + the Iris = Food Coma Heaven! Highly recommend those as a meat and dessert combo. Service was excellent, we were well-attended and treated like guests! Our server Melody was awesome too!","4/26/2017","5.0 star rating","https://www.yelp.com/user_details?userid=m8QBCCZWZA4XWJAv9nQJ4g","Jose V."
