"fake_review","fake_review_date","fake_review_rating","fake_user_id","fake_user_name "
"I ate here earlier tonight and it was sublime!!  Our server, I can't remember his name ( sorry!), but he was tall with glasses and swoopy black hair, was awesome.  His recommendations were spot on, and the service from everyone who touched our table, was impeccable.  I loved the food, especially the raviolo and the gnocchi!  I could have eaten a bucket of ravioli.  The flavors were well balanced and perfect.  Well done to all the staff, back and front of house.  I'll be back.","3/11/2016","5.0 star rating","u4IacBkfrKDyUHVPGrzxGw","Adrienne D."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Great food and atmosphere.  We really enjoyed it.","3/4/2016","5.0 star rating","DlnXatGcVvblXCjUttrnLw","Candice G."
"Great brunch, reasonable prices and the staff was very friendly.   Call ahead as they are usually pretty busy.","2/26/2016","5.0 star rating","QA3ROVH3XDJ4ybONdic1fg","Steph S."
"The Gather is a great place for family. Will be coming back soon. The food was amazing and the service was amazing too. I heard this was one of the best places around so I had to go. Great Job guys!","2/16/2016","5.0 star rating","W6tRTDuRl-JiBFPXa-WRjQ","Rocco B."
"Great Food, loved the atmosphere!","1/31/2016","5.0 star rating","y2kTqSwI-V4HTzLn2sUpMg","Steve S."
"I went to Gather last night with two of my friends and we all three loved the place. We were looking for something new and different that we hadn't heard of, and thanks to the ' a la card ' we found the perfect spot! We decided to order a couple ""gather and share"" items to start and I can absolutely recommend the gnocchi! Then we all ordered a  different entree with the intent to share those as well, but we all loved our individual entrees so much that ""sharing"" ended up being a joke! That being said I can only comment on the chicken, which was delicious and a wonderful presentation. The service was great too. The only reason we won't be back right away is because we aren't close to the neighborhood, but will be a staple when I travel north! Go gather at Gather! You won't regret it. I will definitely be going in warmer weather to sit on the patio!","1/28/2016","5.0 star rating","LbsOxOZO9-YR5eqBgag0_g","Krista H."
"Great little spot in Lincoln Square!  The food is awesome and the atmosphere is perfect for all kinds of occasions it is a great spot, but also great for girls a night out.  Love it here!","1/20/2016","5.0 star rating","vXS3XVPrDDI5v4Wxh-j8wQ","Monica C."
"Best drink = a vermouth apertif called Del ProfessoreBest dish to share = Crispy Brussel Sprouts (how did they get them to taste so good?!?)Best seasonal dish = Sunchoke SoupAlso recommended = steak tartare, butternut squash gnocchi, honeycrisp apple saladGreat service and ambience!Deliciously satisfying mealOutstanding place to get caught up with a friend","1/8/2016","5.0 star rating","naiJeFjUevwbcBmyEtVnhA","Barbara G."
"Service: 5 starsHostess: 5 starsFood: 5 starsDrinks: 5 stars20 stars - this place is fabulous!","12/15/2015","5.0 star rating","x8GTAxvVnLFoJmTIUJapyw","Pamela P."
"The sun choke soup is the best restaurant dish I have eaten all year. Velvety smooth, sweet marmalade, and crunchy fried sun chokes, give this soup serious umami. Ken Carter is a master chef.","12/4/2015","5.0 star rating","8GddjWR8-4DCCJyDDNPwtw","Sue H."
"When the hostess asked if we wanted to sit outside (in November?) I thought she was joking. Wrong! The outdoor space was beautiful and warm. Plenty of heaters. Glad we sat out there. The server, Jamie, was really nice, friendly and helpful. She was very knowledgeable about the drinks and the menu. I had a ""Dark and Stormy"" cocktail- it was fantastic-rum and ginger beer and a few other ingredients. For appetizers we had the Honeycrisp Apple appetizer and the Uovo Raviolo. Both of them were amazing. It's not a burger place, but I ordered it anyway-great idea. Loaded with cheese, onions and bacon- it was delicious. Everything was perfect. One of the most amazing things is that almost every employee in the place was at our table at some point during the meal, dropping off a food item or a drink. We really didn't need dessert, but couldn't pass up the deep fried Apple Fritters with Ice Cream on top. It was ridiculous. Seriously. When we were leaving, absolutely every employee thanked us and told us to have a great night. Amazing. So rare to that many great employees in one place. I don't think I could have been more impressed. Highly recommend this place-can't wait to go back!","11/7/2015","5.0 star rating","sEzVZPRaFiXxcI4ExEH8fA","Ryan A."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Excellent brunch, and all other meals. Jamie is the best server one could hopeful.","10/26/2015","5.0 star rating","_C2al6_cDasgEpe_Eh9m5A","D C."
"I've been in three time and always had amazing food and service! I've always gone in with different groups of friends and everyone has left happy so I definitely feel it will please a variety of different tastes as well.","9/16/2015","5.0 star rating","FBJwIFeAIFJBbLZc0Ci2uA","Beth G."
"Gather is amazing! I had one too many whiskey cocktails because they tasted so good I couldn't help myself!  Love the patio; it's so cozy and beautiful.  Had the fried chicken and it was delicious.  Service was fantastic as well.  I'm definitely putting Gather on my top 10 list.","8/25/2015","5.0 star rating","G88zYZVW8uuTneSNQ37eYw","Janice W."
"I made reservations a week in advance and received wonderful service from Jaime via email. My spouse and I would be celebrating a birthday and knew that Gather previously offered a unique and satisfying experience (this would be our 4th visit). Seating was available at the kitchen counter and we asked that the chef cook what he wanted for us. The service was spectacular, and they provided fantastic wine pairings with our courses. The food was fresh, flavorful and plated beautifully. We could not have asked for more! Many thanks Gather!","8/17/2015","5.0 star rating","sr5tv2KTAhx-yOHNAbzvMg","Bill S."
"Gather is amazing! We went with a group of six. We shared appetizers that were delicious.  Get the brussel sprouts! I had the scallops for dinner.  I don't think I have ever had better anywhere.  We were there for a birthday so we ordered three desserts to share.  Do not skip dessert if you eat there! In fact going there just for dessert would not be strange at all.  They offer some of the best ever.  I'm a chocolate person, but their apple fritters may have changed me forever. There is a beautiful outdoor patio.  We sat indoors with our reservation.  Even though it was crowded, it was not too loud.  I have heard the brunch here is spectacular too. I hope to be back here soon and often.","8/2/2015","5.0 star rating","ya6Zi5GBtjJpbtx2oyCo_w","Mary B."
"Great meal, great wine, fairly priced and in a lovely patio setting. Hard to beat for dinner on a summer Sunday. The fried chicken and the mussels were our favorites.","7/13/2015","5.0 star rating","QMtjvXGvaFHjhsuSoloeUg","Mike W."
"Yeah, this place is good. Pretty much what everyone said it would be.","6/11/2015","5.0 star rating","YqulnRNFYd619BMkxFpWjQ","Scott W."
"Run, don't walk...to this Lincoln Square hot spot. If you love amazing food presented in an unpretentious way, in a casual yet chic setting...and brought to you by some of the most amiable, knowledgeable, friendly servers?! Then this place is for you.  Perhaps the best dining experience I've had in Chicago in a long time. Can't wait to go back!! The brussel sprouts alone, are worth the price of admission...but everything we tried was beyond amazing.","6/3/2015","5.0 star rating","07gUdwMNdv2kAj5fXE9ubQ","Ron M."
"Gather is a fun place to grab and go or sit outside on the cafe bench and watch the wharf unfold on any morning. This is a busy place all the time, awesome fresh sour dough breads and deserts at your fingertips.","2/20/2015","5.0 star rating","TJHCzGvYlsusk0PdqmFsLw","Alan C."
"Had a fantastic dinner Saturday night and had the treat of sitting tableside to watch Ryan and his crew work their magic on the dishes.Had the Mussels, Cod and Brussel Sprouts and they were outstanding.The Gather Board was creative and well put together.Highly recommended.","12/23/2014","5.0 star rating","3dAIupc8KoNXX9e24UFUqw","Jim C."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Simply outstanding. Food, service, experience all tops.","11/24/2014","5.0 star rating","QzY4OOkFO_0826VPQOrx8w","Christopher W."
"This place is awesome! Amazing food and the staff is super friendly! Get the cinnamon roll!! It is a must!","9/21/2014","5.0 star rating","horOlLTRIrw5b7jVk6_yqw","Liz C."
"Great place to have in the neighborhood! The atmosphere and food are perfect. We always come here with friends and the to share appetizers are amazing. If you haven't tried it yet, it is a must!","8/28/2014","5.0 star rating","63IOEIuxLaYv07CADM9hsA","J G."
"Second time at Gather. Service was great. Food was just spot on good. I can't wait to try brunch!","5/29/2014","5.0 star rating","O5X-UPSXIC3J7mUOigKD0Q","Lauran C."
"Excellent food, great atmosphere. I believe this restaurant is on the up and up and really stood out to my family as a great place in the area.","1/8/2014","5.0 star rating","KRsrES_IxCpGX3RUVcCntg","Liona R."
"My friend and I decided to stop by for after dinner drinks on Sunday, it was great!  We sat at the bar and ordered some cocktails.  Our bartender was very friendly and took great care of us, we felt taken care of.  Even though we were full from our dinner, we decided to order some appetizers since the menu looked so good.  I am glad that we did!  The Whipped Ricotta and the Yellow Fin Tuna Tartare was delicious!  The tuna was so fresh.  We would definately go back, not just for the food but for the service!  Great addition to the Lincoln Square neighborhood.","10/22/2013","5.0 star rating","cyDq8N3XyYrvPFySk7LG2Q","Mary D."
"Just got back from a Sunday night dinner for four. The food was so excellent that I just had to give this restaurant a big shout-out!The restaurant was half-full, service was friendly and prompt, and the General Manager personally delivered the meals. Atmosphere was contemporary and comfortable. The menu was pretty limited...but as it turns out that was no problem, because literally everything we ordered was delicious.Two thumbs up for: Homemade Ricotta with Honeycomb, Mixed Green Salad (you wouldn't think that something this basic could get rave reviews), Steamed Mussels (delicious broth), Roasted Chicken (very moist), and Halibut -- and Sticky Buns for dessert.The only thing that was not quite as perfect (but still quite good) were the Pappardelle with Fava Beans, Peas, Maitake Mushrooms and Asparagus in a very light cream sauce. The taste was actually quite good, but the texture didn't quite work. With wide noodles like pappardelle, you need something that can ""cling"" to the pasta a bit better, and the asparagus spears were just too big a scale.  The combination was unusual and creative, but I think this recipe requires a bit more tweaking.Bottom line -- fabulous meal, reasonable price point. We'll be back and will recommend to friends.","6/23/2013","5.0 star rating","7u9I5kR7AuK8W1tkwpmOwQ","Marco H."
"Cozy place; great food and presentation; we'll definitely go back; suggestion: a warm welcomy hostess needed to greet customers","1/19/2013","5.0 star rating","XTC07uKWwgkfYriBVmXjUQ","Yulia D."
"Had an amazing meal and enjoyed great service.  So happy to have a restaurant in the neighborhood that is welcoming.  The brussel sprouts were fantastic as well as the porchetta and who could forget the sticky buns!  Will definitely be back.","1/7/2013","5.0 star rating","rGrlR0XnLnHVQWHeCVy_4A","Clark B."
"Tasty dishes. Definitely going back.","12/16/2012","5.0 star rating","N1VsBuUbl5533toUEzSV7Q","Michelle V."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"Love this Place.","12/15/2012","5.0 star rating","Pu38Rq_mujsQvJpHYYY8Tw","Ailsie C."
"Great value for a nice meal!  Went one of the first nights Gather was open, and I was really impressed at how upscale my meal turned out to be for such a good price.  Wife and I shared a few plates from the Gather (sharing) menu and then each had a prime entree.  We left full and really enjoyed the wine, and were out the door at a great price.  Highly recommend!","12/11/2012","5.0 star rating","3b-3pLjt6lDWf0czG1kt8Q","Jason G."
"Really enjoyed the pork sandwich I had as well as the salami and cheese plate. The vegetarian offerings looked good as well and I can't wait to come back and try.Great wine selection. Staff is top notch as well - knowledgeable without being oversolicitous and too chatty.","12/11/2012","5.0 star rating","JTecaKTgRCX7IS7IeGfpAQ","Judy D."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
"This review has been removed for violating our Terms of Service","1/16/2014","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","12/17/2013","1.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","8/28/2013","2.0 star rating","Y8w6WW3_dtqfaUnNRSwn3w","TR C."
"This review has been removed for violating our Terms of Service","1/12/2015","4.0 star rating","0x_Jzyg4LRxDaX3Yzq144A","Alexander N."
"This review has been removed for violating our Terms of Service","11/9/2016","5.0 star rating","mqAgD7G8IsJqn_6SSC703Q","Amy W."
"This review has been removed for violating our Terms of Service","1/22/2016","5.0 star rating","IiUhKdYxWi48qfsGOlMI7g","Shel B."
"This review has been removed for violating our Terms of Service","1/8/2015","5.0 star rating","sF9N8L_PetduE5DeORQ6Lw","Tom W."
"This review has been removed for violating our Terms of Service","11/29/2014","1.0 star rating","VvHXq7k5GTfnjFCGxA85iA","Tim C."
